DOY_365,Tmin_C_p10,Tmin_C_p50,Tmin_C_p90,Tmax_C_p10,Tmax_C_p50,Tmax_C_p90,Tavg_C_p10,Tavg_C_p50,Tavg_C_p90,PRCP_mm_p10,PRCP_mm_p50,PRCP_mm_p90,SNOW_mm_p10,SNOW_mm_p50,SNOW_mm_p90,SNWD_mm_p10,SNWD_mm_p50,SNWD_mm_p90
48,-7.8,0.0,3.9,1.1,6.7,16.7,-3.35,3.35,9.15,0.0,0.0,9.9,0.0,0.0,0.3,0.0,0.0,132.20000000000005
49,-5.6,-1.0,5.0,1.7,8.9,20.0,-1.9499999999999997,3.4000000000000004,10.3,0.0,0.0,6.4,0.0,0.0,0.8,0.0,0.0,55.90000000000007
50,-6.7,-1.0,4.4,2.8,10.0,16.7,-2.7500000000000004,4.45,9.75,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,32.50000000000011
51,-4.3,1.1,7.8,2.2,9.4,18.3,-0.55,5.05,12.8,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,30.500000000000078
52,-3.9,0.0,7.2,3.9,10.6,18.9,0.050000000000000044,5.8500000000000005,12.5,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,53.00000000000004
53,-3.2,1.7,6.1,2.2,11.1,17.8,0.2500000000000001,6.1499999999999995,12.25,0.0,0.3,6.9,0.0,0.0,0.0,0.0,0.0,2.5000000000000355
54,-3.9,2.2,7.8,5.0,8.9,19.4,1.65,5.550000000000001,13.85,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,3.0000000000000426
55,-4.4,0.6,7.8,3.9,11.7,18.3,0.0,5.550000000000001,11.95,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0
56,-2.8,0.6,6.7,3.9,10.6,20.6,1.35,6.1,11.950000000000001,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
57,-2.7,1.1,6.1,3.9,10.0,16.1,1.4,5.85,11.4,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,3.0000000000000426
58,-3.8,1.7,7.2,4.4,11.7,17.8,0.04999999999999982,7.25,12.5,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
59,-3.0199999999999996,2.2,7.320000000000002,2.8,10.6,18.9,0.48999999999999994,7.25,12.5,0.0,0.0,10.880000000000022,0.0,0.0,0.0,0.0,0.0,0.0
60,-3.3,2.2,7.8,4.4,11.1,20.6,1.4499999999999997,6.3999999999999995,11.700000000000001,0.0,0.0,7.4,0.0,0.0,0.3,0.0,0.0,0.0
61,-0.6,2.2,6.1,4.4,12.2,19.4,1.95,7.55,11.95,0.0,0.8,11.7,0.0,0.0,0.0,0.0,0.0,2.5000000000000355
62,-5.0,1.7,6.1,3.9,8.3,18.3,-0.55,5.550000000000001,12.25,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0
63,-6.1,1.1,7.8,5.0,8.3,18.3,0.25,4.45,12.75,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
64,-4.3,1.7,7.2,6.7,10.6,18.9,1.6999999999999997,5.85,11.95,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0
65,-3.9,1.1,8.3,2.2,12.2,17.8,-0.5,6.949999999999999,11.65,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0
66,-3.9,3.3,6.7,7.2,11.7,21.1,1.1500000000000004,7.8,13.649999999999999,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
67,-4.4,1.7,10.0,5.0,13.9,23.3,2.5,8.049999999999999,16.95,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,2.5000000000000355
68,-3.9,2.2,8.3,2.8,13.9,23.3,-0.55,8.35,15.3,0.0,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0
69,-3.3,2.8,12.2,4.4,11.7,22.2,0.5500000000000003,7.5,17.2,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
70,-2.8,3.3,8.9,6.7,15.0,22.8,1.4,9.45,14.45,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
71,-2.2,2.2,8.9,7.8,14.4,21.7,3.3499999999999996,7.75,14.7,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0
72,-2.1,3.3,9.4,6.7,12.8,23.9,2.8499999999999996,8.9,15.85,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,3.9,8.3,7.2,14.4,24.4,3.35,8.9,15.85,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,5.0,10.6,8.3,15.0,24.4,4.45,8.9,18.65,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
75,-0.5,5.0,9.4,6.7,13.9,22.8,3.35,9.45,16.15,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,4.4,10.0,5.6,12.8,22.8,3.05,8.35,15.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
77,-0.6,4.4,8.9,6.7,14.4,21.7,2.8,9.7,15.55,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,3.3,9.4,8.3,12.8,23.9,4.2,8.05,15.850000000000001,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,3.9,10.0,8.3,13.3,22.2,4.75,8.049999999999999,15.55,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,3.9,8.3,5.6,14.4,21.1,3.9,8.65,14.450000000000001,0.0,0.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,4.4,8.9,7.2,14.4,21.7,3.9,8.9,14.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
82,-0.6,2.8,10.0,10.6,12.2,23.9,5.0,6.65,17.799999999999997,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0
83,0.6,2.8,10.0,8.3,14.4,20.0,4.7,9.450000000000001,14.149999999999999,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,6.1,10.6,8.9,13.9,22.8,5.0,8.9,15.8,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
85,1.1,5.6,9.4,9.4,15.0,24.4,5.55,10.6,16.35,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,5.0,10.6,8.9,13.9,22.8,4.199999999999999,8.9,16.15,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
87,-0.5,7.2,10.6,8.3,16.1,23.3,3.8500000000000005,10.850000000000001,16.65,0.0,0.3,13.5,0.0,0.0,0.0,0.0,0.0,0.0
88,2.8,6.7,11.7,9.4,17.2,25.0,5.0,12.25,17.25,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
89,2.2,5.6,11.7,11.7,17.2,25.0,6.3999999999999995,11.1,18.049999999999997,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
90,2.8,6.1,10.6,11.1,16.7,23.9,7.8,11.7,17.25,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0
91,2.8,7.8,12.2,10.6,16.1,23.9,7.75,12.2,17.8,0.0,0.3,7.6,0.0,0.0,0.0,0.0,0.0,0.0
92,3.9,6.7,11.7,10.6,16.7,25.0,7.25,11.950000000000001,16.95,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
93,2.2,6.7,12.8,12.2,20.6,24.4,7.5,13.899999999999999,19.45,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0
94,2.8,7.2,12.2,12.2,20.0,26.1,9.2,13.6,19.4,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
95,1.1,6.1,12.8,9.4,15.6,23.3,5.550000000000001,11.4,19.15,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
96,1.7,6.7,12.2,10.6,17.2,27.8,6.95,11.95,18.9,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
97,2.8,8.3,11.7,9.4,19.4,25.0,6.35,13.600000000000001,18.65,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0
98,2.2,7.2,11.7,10.6,18.3,26.7,6.949999999999999,12.75,19.2,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0
99,1.1,6.7,11.7,8.3,17.2,27.2,5.55,11.4,20.0,0.0,0.3,9.4,0.0,0.0,0.0,0.0,0.0,0.0
100,2.2,7.2,11.7,11.1,18.3,24.4,6.3999999999999995,12.5,18.05,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
101,3.9,8.3,15.0,11.7,19.4,27.8,9.2,13.6,21.1,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0
