DOY_365,Tmin_C_p10,Tmin_C_p50,Tmin_C_p90,Tmax_C_p10,Tmax_C_p50,Tmax_C_p90,Tavg_C_p10,Tavg_C_p50,Tavg_C_p90,PRCP_mm_p10,PRCP_mm_p50,PRCP_mm_p90,SNOW_mm_p10,SNOW_mm_p50,SNOW_mm_p90,SNWD_mm_p10,SNWD_mm_p50,SNWD_mm_p90
342,-3.3,1.7,6.7,1.7,7.8,15.0,-0.25,4.45,10.85,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0
343,-3.3,0.6,5.0,2.8,7.2,11.7,-0.25,4.15,8.35,0.0,0.0,16.8,0.0,0.0,0.3,0.0,0.0,2.5000000000000355
344,-3.2,0.6,6.1,3.9,9.4,17.2,0.25,5.0,10.55,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
345,-3.2,1.7,5.6,5.6,8.9,17.2,1.15,6.1,10.55,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0
346,-2.7,1.1,5.0,4.4,8.3,13.3,1.1,5.25,9.15,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
347,-4.75,0.6,6.7,2.8,7.8,12.2,-1.0500000000000003,4.45,9.45,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0
348,-2.7,1.1,5.0,3.3,8.3,15.0,0.5499999999999999,5.0,8.65,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0
349,-3.9,1.1,5.6,3.3,10.6,17.2,-1.65,6.1,10.850000000000001,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0
350,-4.4,1.7,6.1,3.9,9.4,14.4,1.4,6.3500000000000005,9.45,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0
351,-2.2,0.6,6.7,4.4,10.0,15.6,1.45,5.0,10.25,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0
352,-2.8,0.0,6.1,3.3,7.8,14.4,0.7999999999999999,4.45,10.799999999999999,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
353,-3.9,-0.75,3.3600000000000008,2.6900000000000004,6.95,13.950000000000001,-0.6049999999999998,3.4749999999999996,7.5,0.0,0.0,4.980000000000005,0.0,0.0,0.3200000000000003,0.0,0.0,0.0
354,-4.569999999999999,-0.6,5.110000000000001,-0.6,6.4,15.65,-2.5849999999999995,3.6,9.45,0.0,0.0,3.1600000000000095,0.0,0.0,0.0,0.0,0.0,0.0
355,-5.109999999999999,0.0,7.8500000000000005,3.1900000000000004,7.8,15.110000000000001,-0.40999999999999964,4.025,11.480000000000002,0.0,0.0,2.5500000000000007,0.0,0.0,0.0,0.0,0.0,0.0
356,-3.9499999999999997,0.8500000000000001,7.8,2.2,9.15,16.7,-0.8049999999999998,5.85,10.990000000000002,0.0,0.0,8.640000000000008,0.0,0.0,0.0,0.0,0.0,0.0
357,-6.859999999999999,0.55,6.7,2.1500000000000004,10.25,17.8,-2.0399999999999996,5.725,11.755,0.0,0.0,8.820000000000022,0.0,0.0,0.0,0.0,0.0,0.0
358,-4.4,0.8500000000000001,5.6,0.9900000000000004,8.600000000000001,15.170000000000002,-1.2099999999999995,5.7,10.610000000000001,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0
359,-5.56,-0.5,4.7400000000000055,0.6,7.5,16.1,-2.51,3.2,10.420000000000002,0.0,0.0,12.630000000000004,0.0,0.0,0.0,0.0,0.0,0.0
360,-5.06,-0.5,6.16,1.0500000000000003,6.95,12.26,-1.9799999999999998,3.2,8.46,0.0,0.0,3.330000000000007,0.0,0.0,0.0,0.0,0.0,0.0
361,-4.46,1.4,4.290000000000005,1.5900000000000003,8.600000000000001,15.06,-1.7049999999999998,5.25,9.56,0.0,0.0,2.440000000000006,0.0,0.0,0.0,0.0,0.0,0.0
362,-4.069999999999999,1.4,6.750000000000001,2.1500000000000004,10.3,14.520000000000001,-0.7199999999999993,5.275,10.855000000000002,0.0,0.0,6.52000000000001,0.0,0.0,0.0,0.0,0.0,0.0
363,-2.3699999999999997,1.4,7.310000000000001,4.130000000000002,10.3,14.520000000000001,1.6000000000000012,6.0,10.280000000000001,0.0,0.0,9.010000000000005,0.0,0.0,0.0,0.0,0.0,0.0
364,-5.05,1.4,6.750000000000001,0.6,8.9,17.2,-2.225,5.425,11.155000000000001,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
365,-5.6499999999999995,1.6500000000000001,6.16,2.2,9.7,15.110000000000001,-1.7499999999999996,5.675000000000001,10.350000000000001,0.0,0.0,5.130000000000007,0.0,0.0,0.0,0.0,0.0,0.0
