DOY_365,Tmin_C,Tmax_C,Tavg_C,PRCP_mm
75.0,4.800000000000001,15.963636363636363,10.268181818181818,0.509090909090909
76.0,5.5636363636363635,15.718181818181819,10.363636363636363,2.2454545454545456
77.0,5.136363636363637,15.1,9.704545454545455,1.8909090909090909
78.0,4.345454545454546,14.945454545454544,9.345454545454546,1.6636363636363638
79.0,4.454545454545454,15.054545454545455,9.722727272727273,4.036363636363636
80.0,3.790909090909091,14.654545454545454,8.790909090909091,5.836363636363635
81.0,4.545454545454546,15.563636363636363,10.086363636363636,0.2545454545454545
82.0,5.109090909090909,15.118181818181819,9.790909090909091,5.672727272727273
83.0,5.718181818181818,15.618181818181819,10.318181818181818,6.236363636363635
84.0,7.2727272727272725,16.263636363636365,11.77727272727273,1.2272727272727273
85.0,6.554545454545454,16.663636363636364,11.422727272727274,0.8090909090909091
86.0,5.872727272727272,14.9,10.404545454545454,2.8181818181818183
87.0,6.836363636363637,16.10909090909091,11.145454545454545,3.436363636363636
88.0,6.9,18.436363636363637,11.740909090909092,0.0
89.0,7.527272727272727,20.045454545454547,13.4,0.11818181818181818
90.0,8.036363636363637,19.681818181818183,14.390909090909092,7.045454545454546
91.0,7.681818181818182,17.272727272727273,12.313636363636364,2.227272727272727
92.0,5.618181818181818,15.081818181818182,10.459090909090909,1.2454545454545454
93.0,7.236363636363635,18.38181818181818,12.340909090909092,3.0999999999999996
94.0,8.645454545454545,21.163636363636364,14.836363636363636,0.41818181818181815
95.0,7.9818181818181815,18.736363636363638,13.586363636363636,2.1454545454545455
96.0,9.454545454545455,20.463636363636365,14.30909090909091,5.709090909090909
97.0,8.700000000000001,18.672727272727272,13.595454545454544,6.290909090909091
98.0,7.5181818181818185,17.48181818181818,12.340909090909092,0.7909090909090909
99.0,6.972727272727273,17.072727272727274,12.004545454545456,2.381818181818182
100.0,7.427272727272728,18.327272727272728,12.377272727272727,0.1
101.0,9.590909090909092,20.40909090909091,14.590909090909092,3.563636363636364
102.0,10.254545454545454,22.436363636363637,16.145454545454545,1.5454545454545454
103.0,12.009090909090908,24.045454545454547,17.554545454545455,6.236363636363635
104.0,11.663636363636364,23.12727272727273,17.836363636363636,2.7363636363636363
105.0,10.554545454545455,21.518181818181816,16.259090909090908,3.9181818181818184
106.0,10.554545454545455,21.672727272727272,15.6,4.4363636363636365
107.0,9.745454545454546,19.481818181818184,14.877272727272727,0.2636363636363636
108.0,9.481818181818182,22.118181818181817,15.654545454545454,2.2363636363636363
109.0,10.654545454545454,20.099999999999998,15.581818181818182,1.7
110.0,11.263636363636364,23.19090909090909,16.845454545454547,2.063636363636364
111.0,10.39090909090909,22.37272727272727,16.486363636363635,0.6909090909090909
112.0,10.409090909090908,21.09090909090909,15.631818181818183,2.1999999999999997
113.0,9.536363636363637,20.772727272727273,15.186363636363637,2.309090909090909
114.0,10.772727272727273,20.245454545454546,15.5,4.381818181818182
115.0,10.972727272727273,19.854545454545455,14.895454545454545,2.3545454545454545
116.0,11.30909090909091,21.918181818181818,15.922727272727274,3.4454545454545453
117.0,10.39090909090909,20.763636363636362,15.490909090909092,2.090909090909091
118.0,10.963636363636363,21.963636363636365,16.15909090909091,4.918181818181818
119.0,12.063636363636363,23.281818181818185,17.445454545454545,0.12727272727272726
120.0,12.69090909090909,23.518181818181816,18.313636363636363,5.036363636363636
121.0,12.772727272727273,22.263636363636365,17.395454545454545,1.8727272727272728
122.0,13.836363636363636,26.781818181818178,19.395454545454545,3.972727272727273
123.0,15.090909090909092,24.627272727272725,19.54090909090909,4.245454545454546
124.0,14.545454545454545,22.818181818181817,18.568181818181817,6.5636363636363635
125.0,13.681818181818182,22.154545454545453,18.154545454545453,9.1
126.0,13.02727272727273,21.009090909090908,17.05,4.554545454545455
127.0,12.427272727272726,21.90909090909091,16.900000000000002,3.4999999999999996
128.0,12.681818181818182,23.281818181818185,18.04090909090909,0.5272727272727272
129.0,11.218181818181819,21.327272727272728,15.995454545454548,3.1545454545454548
130.0,12.163636363636364,23.063636363636363,17.254545454545454,1.3909090909090909
131.0,12.727272727272727,22.563636363636363,17.78181818181818,4.890909090909091
132.0,13.390909090909092,22.981818181818184,17.84090909090909,3.1181818181818177
133.0,13.163636363636364,21.818181818181817,17.404545454545453,8.200000000000001
134.0,13.29090909090909,23.44545454545454,17.90909090909091,5.9363636363636365
135.0,14.29090909090909,25.154545454545453,19.195454545454545,2.1727272727272724
136.0,15.29090909090909,26.41818181818182,20.536363636363635,4.763636363636364
137.0,16.10909090909091,25.027272727272727,20.172727272727272,3.1818181818181817
138.0,15.909090909090908,24.4,20.222727272727273,5.463636363636364
139.0,16.290909090909093,26.663636363636364,20.86818181818182,2.4363636363636365
140.0,16.11818181818182,26.718181818181815,21.46818181818182,0.3727272727272727
141.0,15.163636363636364,23.736363636363638,19.62272727272727,3.7
142.0,15.345454545454546,25.563636363636363,19.990909090909092,9.527272727272727
143.0,16.827272727272728,26.09090909090909,21.222727272727273,1.9909090909090907
144.0,15.6,25.518181818181816,20.62272727272727,2.145454545454545
145.0,16.054545454545455,26.518181818181816,20.768181818181816,1.8272727272727274
146.0,17.78181818181818,28.29090909090909,22.327272727272728,2.9799999999999995
147.0,18.7,27.472727272727273,22.8,1.4363636363636365
148.0,18.081818181818182,26.263636363636362,22.013636363636365,7.181818181818182
149.0,18.036363636363635,26.972727272727273,22.181818181818183,5.109090909090909
150.0,18.027272727272727,26.345454545454547,21.895454545454545,3.3272727272727276
151.0,17.20909090909091,28.027272727272727,22.12727272727273,3.6454545454545455
152.0,17.227272727272727,28.88181818181818,22.88181818181818,5.745454545454546
153.0,17.62727272727273,28.018181818181816,22.78181818181818,2.272727272727273
154.0,17.40909090909091,27.218181818181815,22.28181818181818,4.827272727272727
155.0,17.37272727272727,27.88181818181818,22.3,2.1727272727272724
156.0,18.790909090909093,28.227272727272727,23.33181818181818,4.445454545454546
157.0,19.454545454545453,29.59090909090909,24.254545454545454,0.0
158.0,19.236363636363635,27.69090909090909,23.79090909090909,0.9909090909090907
159.0,18.536363636363635,27.863636363636363,22.995454545454546,3.927272727272727
160.0,18.87272727272727,28.845454545454547,23.781818181818185,0.6909090909090909
161.0,18.727272727272727,29.1,24.00909090909091,3.5090909090909093
162.0,19.345454545454547,28.336363636363636,23.70909090909091,6.145454545454546
163.0,19.581818181818182,29.79090909090909,24.527272727272727,0.7818181818181817
